x,y,V,Exact,Error
0.28,0.18,-2.19417,-2.20003,0.00586268
0.32,0.18,-1.99941,-2.00396,0.00455694
0.36,0.18,-1.8166,-1.82016,0.00356183
0.4,0.18,-1.64537,-1.64818,0.00280924
0.44,0.18,-1.48498,-1.48722,0.00223853
0.48,0.18,-1.33456,-1.33636,0.00180228
0.52,0.18,-1.19322,-1.19468,0.00146536
0.56,0.18,-1.06011,-1.06132,0.00120222
0.6,0.18,-0.934479,-0.935474,0.000994378
0.64,0.18,-0.815617,-0.816445,0.000828435
0.68,0.18,-0.702907,-0.703602,0.000694588
0.72,0.18,-0.595798,-0.596384,0.000585609
0.76,0.18,-0.4938,-0.494296,0.00049611
0.8,0.18,-0.39648,-0.396902,0.000422034
0.84,0.18,-0.303451,-0.303811,0.000360288
0.88,0.18,-0.214371,-0.214679,0.000308496
0.92,0.18,-0.128933,-0.129198,0.000264805
0.96,0.18,-0.0468638,-0.0470916,0.000227765
1,0.18,0.0320824,0.0318862,0.000196223
1.04,0.18,0.108126,0.107957,0.000169259
1.08,0.18,0.181467,0.181321,0.000146127
1.12,0.18,0.252285,0.252159,0.000126225
1.16,0.18,0.320742,0.320633,0.000109056
1.2,0.18,0.386988,0.386894,9.42109e-05
1.24,0.18,0.451157,0.451076,8.13496e-05
1.28,0.18,0.513373,0.513303,7.01875e-05
1.32,0.18,0.573748,0.573688,6.04855e-05
1.36,0.18,0.632387,0.632335,5.20409e-05
1.4,0.18,0.689385,0.68934,4.46819e-05
1.44,0.18,0.744829,0.74479,3.82615e-05
1.48,0.18,0.7988,0.798768,3.26539e-05
1.52,0.18,0.851375,0.851347,2.77508e-05
1.56,0.18,0.902621,0.902597,2.3459e-05
1.6,0.18,0.952604,0.952584,1.96977e-05
1.64,0.18,1.00138,1.00137,1.63974e-05
1.68,0.18,1.04902,1.049,1.34977e-05
1.72,0.18,1.09555,1.09554,1.09468e-05
1.76,0.18,1.14104,1.14103,8.70042e-06
1.8,0.18,1.18553,1.18552,6.72124e-06
1.84,0.18,1.22906,1.22906,4.97868e-06
1.88,0.18,1.27167,1.27167,3.44885e-06
1.92,0.18,1.3134,1.3134,2.1147e-06
1.96,0.18,1.35429,1.35429,9.66198e-07
2,0.18,1.39436,1.39436,0
0,0.2,-3.21888,-3.21888,0
0.04,0.2,-3.17499,-3.17966,0.00466303
0.08,0.2,-3.06175,-3.07046,0.0087067
0.12,0.2,-2.90098,-2.91139,0.0104124
0.16,0.2,-2.71407,-2.72418,0.0101101
0.2,0.2,-2.51692,-2.52573,0.00880844
0.24,0.2,-2.31962,-2.32688,0.00726089
0.28,0.2,-2.12785,-2.13369,0.00583296
0.32,0.2,-1.94447,-1.94912,0.00464313
0.36,0.2,-1.77062,-1.77431,0.00369587
0.4,0.2,-1.60648,-1.60944,0.0029559
