x,y,V,Exact,Error,Boundary
0.64,0.14,-0.845802,-0.845832,3.04569e-05,0
0.68,0.14,-0.729801,-0.729811,1.00639e-05,0
0.72,0.14,-0.619902,-0.619897,-4.9464e-06,0
0.76,0.14,-0.515519,-0.515503,-1.60243e-05,0
0.8,0.14,-0.416146,-0.416122,-2.41956e-05,0
0.84,0.14,-0.321338,-0.321308,-3.01958e-05,0
0.88,0.14,-0.230706,-0.230672,-3.45592e-05,0
0.92,0.14,-0.143908,-0.14387,-3.76784e-05,0
0.96,0.14,-0.0606395,-0.0605996,-3.98454e-05,0
1,0.14,0.0193691,0.0194104,-4.12793e-05,0
1.04,0.14,0.0963583,0.0964005,-4.21461e-05,0
1.08,0.14,0.170544,0.170586,-4.2573e-05,0
1.12,0.14,0.242119,0.242162,-4.26581e-05,0
1.16,0.14,0.311258,0.311301,-4.24776e-05,0
1.2,0.14,0.37812,0.378162,-4.20913e-05,0
1.24,0.14,0.442848,0.442889,-4.15464e-05,0
1.28,0.14,0.505571,0.505612,-4.08802e-05,0
1.32,0.14,0.566409,0.56645,-4.01226e-05,0
1.36,0.14,0.625471,0.625511,-3.92977e-05,0
1.4,0.14,0.682856,0.682895,-3.84248e-05,0
1.44,0.14,0.738656,0.738694,-3.75194e-05,0
1.48,0.14,0.792956,0.792993,-3.65943e-05,0
1.52,0.14,0.845833,0.845868,-3.56599e-05,0
1.56,0.14,0.897359,0.897393,-3.47244e-05,0
1.6,0.14,0.947601,0.947634,-3.37947e-05,0
1.64,0.14,0.996621,0.996653,-3.28763e-05,0
1.68,0.14,1.04448,1.04451,-3.19735e-05,0
1.72,0.14,1.09122,1.09125,-3.10897e-05,0
1.76,0.14,1.1369,1.13694,-3.02273e-05,0
1.8,0.14,1.18158,1.1816,-2.93878e-05,0
1.84,0.14,1.22528,1.2253,-2.85719e-05,0
1.88,0.14,1.26805,1.26807,-2.77789e-05,0
1.92,0.14,1.30993,1.30995,-2.7007e-05,0
1.96,0.14,1.35095,1.35098,-2.62524e-05,0
2,0.14,5.53857,1.39118,4.14739,1
0,0.16,-14.7253,-3.66516,-11.0602,1
0.04,0.16,-3.59689,-3.60454,0.00764372,0
0.08,0.16,-3.43361,-3.44202,0.00840877,0
0.12,0.16,-3.21166,-3.21888,0.00721374,0
0.16,0.16,-2.9666,-2.97202,0.00541826,0
0.2,0.16,-2.72035,-2.72418,0.00382829,0
0.24,0.16,-2.48386,-2.48651,0.00264687,0
0.28,0.16,-2.26154,-2.26336,0.00182624,0
0.32,0.16,-2.05446,-2.05573,0.00126823,0
